,endpoint,login
0,static,False
1,auth.login,False
2,auth.logout,False
3,indexer.index,True
4,indexer.pull_from_gateway,True
5,indexer.update_all,True
6,indexer.update_folder_subscriptions,True
7,indexer.update_group_subscriptions,True
8,indexer.from_crawl,True
9,indexer.progress_crawl,True
10,api.api_delete,True
11,search.index,False
12,search.user,True
13,search.anonymous,False
14,pages.return_faq,False
15,pages.return_acknowledgements,False
16,pages.return_contact,False
17,settings.index,True
18,settings.toggle_theme,False
19,subscriptions.index,True
20,subscriptions.pull_sites_from_gateway,True
21,subscriptions.subscribe_to_site,True
22,subscriptions.unsubscribe_from_site,True
23,admin.static,True
24,admin.index,True
25,sites.action_view,False
26,sites.ajax_lookup,False
27,sites.ajax_update,False
28,sites.create_view,False
29,sites.delete_view,False
30,sites.details_view,False
31,sites.edit_view,False
32,sites.export,False
33,sites.index_view,False
34,pods.action_view,True
35,pods.ajax_lookup,True
36,pods.ajax_update,True
37,pods.create_view,True
38,pods.delete_view,True
39,pods.details_view,True
40,pods.edit_view,True
41,pods.export,True
42,pods.index_view,True
43,urls.action_view,True
44,urls.ajax_lookup,True
45,urls.ajax_update,True
46,urls.create_view,True
47,urls.delete_view,True
48,urls.details_view,True
49,urls.edit_view,True
50,urls.export,True
51,urls.index_view,True
52,serve_logos,False
