,endpoint,login,argtype,argex,reset_login,skip
0,static,FALSE,url,filename:pears-logo.png,,
1,auth.login,FALSE,,,,
2,auth.logout,FALSE,,,TRUE,
3,indexer.index,TRUE,,,,
4,indexer.pull_from_gateway,TRUE,,,,
5,indexer.update_all,TRUE,,,,
6,indexer.update_folder_subscriptions,TRUE,form,folders:https://onmydisk.net/fakeUser/fakeDevice/,,
7,indexer.update_group_subscriptions,TRUE,form,groups:fakeGroup,,
8,indexer.from_crawl,TRUE,get,url:https://onmydisk.net/fakeUser/fakeDevice/fakeFolder,,
9,indexer.progress_crawl,TRUE,,,,
10,api.api_delete,TRUE,get,path:fakePath/fakeFile.txt,,
11,search.index,FALSE,,,,
12,search.user,TRUE,get,"q:cookies, gui:true",,
13,search.anonymous,FALSE,get,"q:cookies, gui:true",,
14,pages.return_faq,FALSE,,,,
15,pages.return_acknowledgements,FALSE,,,,
16,pages.return_contact,FALSE,,,,
17,settings.index,TRUE,,,,
18,settings.toggle_theme,FALSE,get,current_page:/,,
19,subscriptions.index,TRUE,,,,
20,subscriptions.pull_sites_from_gateway,TRUE,,,,
21,subscriptions.subscribe_to_site,TRUE,get,sitename:fakeSite,,
22,subscriptions.unsubscribe_from_site,TRUE,get,sitename:fakeSite,,
23,admin.static,TRUE,url,filename:pears_team.png,,
24,admin.index,TRUE,,,,
25,sites.action_view,TRUE,,,,
26,sites.ajax_lookup,TRUE,,,,
27,sites.ajax_update,TRUE,,,,
28,sites.create_view,TRUE,,,,
29,sites.delete_view,TRUE,,,,
30,sites.details_view,TRUE,,,,
31,sites.edit_view,TRUE,,,,
32,sites.export,TRUE,url,export_type:csv,,
33,sites.index_view,TRUE,,,,
34,pods.action_view,TRUE,,,,
35,pods.ajax_lookup,TRUE,,,,
36,pods.ajax_update,TRUE,,,,
37,pods.create_view,TRUE,,,,
38,pods.delete_view,TRUE,,,,
39,pods.details_view,TRUE,,,,
40,pods.edit_view,TRUE,,,,
41,pods.export,TRUE,url,export_type:csv,,
42,pods.index_view,TRUE,,,,
43,urls.action_view,TRUE,,,,
44,urls.ajax_lookup,TRUE,,,,
45,urls.ajax_update,TRUE,,,,
46,urls.create_view,TRUE,,,,
47,urls.delete_view,TRUE,,,,
48,urls.details_view,TRUE,,,,
49,urls.edit_view,TRUE,,,,
50,urls.export,TRUE,url,export_type:csv,,
51,urls.index_view,TRUE,,,,
52,serve_logos,FALSE,url,path:logo-dark.png,,
